,B_nihoa_A_2673,B_kauaiensis_A_2673,B_kauaiensis_B_2673,B_unica_A_2673,B_parvula_A_2673,B_parvula_B_2673,B_molokaiensis_A_2673,B_deplanata_A_2673,B_deplanata_B_2673,B_brunnea_A_2673,B_mauiensis_A_2673,B_mauiensis_B_2673,B_pilimauiensis_A_2673,B_nitida_A_2673,B_nitida_B_2673,B_nitida_C_2673,R_lineosa_2673,R_dubia_2673,B_nihoa_B_2673,B_unica_B_2673,B_molokaiensis_B_2673,B_brunnea_B_2673,B_pilimauiensis_B_2673,Neoconocephalus_sp_2673
B_nihoa_A_2673,,,,,,,,,,,,,,,,,,,,,,,,
B_kauaiensis_A_2673,0.1419091373,,,,,,,,,,,,,,,,,,,,,,,
B_kauaiensis_B_2673,0.1341463415,0.0087649402,,,,,,,,,,,,,,,,,,,,,,
B_unica_A_2673,0.1419091373,0.0977822581,0.0908366534,,,,,,,,,,,,,,,,,,,,,
B_parvula_A_2673,0.1365030675,0.0459363958,0.0383386581,0.0943967693,,,,,,,,,,,,,,,,,,,,
B_parvula_B_2673,0.1148648649,0.0289495451,0.0289495451,0.0603804797,0.0173697270,,,,,,,,,,,,,,,,,,,
B_molokaiensis_A_2673,0.1381818182,0.0641025641,0.0581673307,0.0917948718,0.0642013354,0.0454921423,,,,,,,,,,,,,,,,,,
B_deplanata_A_2673,0.1445720251,0.0726429675,0.0645418327,0.0973724884,0.0779153767,0.0512820513,0.0623390005,,,,,,,,,,,,,,,,,
B_deplanata_B_2673,0.1284552846,0.0661354582,0.0645418327,0.0900398406,0.0742811502,0.0512820513,0.0597609562,0.0000000000,,,,,,,,,,,,,,,,
B_brunnea_A_2673,0.1460674157,0.0892586989,0.0804780876,0.0887544125,0.0915457729,0.0521091811,0.0851718830,0.0850515464,0.0749003984,,,,,,,,,,,,,,,
B_mauiensis_A_2673,0.1383358857,0.0892137097,0.0796812749,0.0816532258,0.0926853707,0.0545905707,0.0866666667,0.0808861412,0.0733067729,0.0485485485,,,,,,,,,,,,,,
B_mauiensis_B_2673,0.1292682927,0.0780876494,0.0796812749,0.0804780876,0.0838658147,0.0545905707,0.0725099602,0.0733067729,0.0733067729,0.0398406375,0.0007968127,,,,,,,,,,,,,
B_pilimauiensis_A_2673,0.1384065373,0.0892586989,0.0812749004,0.0832072617,0.0924242424,0.0595533499,0.0856410256,0.0834621329,0.0741035857,0.0499495459,0.0105900151,0.0095617530,,,,,,,,,,,,
B_nitida_A_2673,0.1445352400,0.0953101362,0.0868525896,0.0932929904,0.0960480240,0.0578990902,0.0903027193,0.0881443299,0.0820717131,0.0509745127,0.0520520521,0.0494023904,0.0544904137,,,,,,,,,,,
B_nitida_B_2673,0.1504471331,0.0929387331,0.0835380835,0.0903426791,0.0962038482,0.0561224490,0.0908141962,0.0875721028,0.0794430794,0.0498701299,0.0508826584,0.0450450450,0.0534787124,0.0166233766,,,,,,,,,,
B_nitida_C_2673,0.1292682927,0.0844621514,0.0844621514,0.0844621514,0.0910543131,0.0645161290,0.0796812749,0.0812749004,0.0812749004,0.0541832669,0.0549800797,0.0549800797,0.0557768924,0.0533864542,0.0483210483,,,,,,,,,
R_lineosa_2673,0.1327207759,0.1456653226,0.1386454183,0.1481854839,0.1495000000,0.1232423490,0.1533333333,0.1535291087,0.1442231076,0.1508491508,0.1430715358,0.1410358566,0.1442259203,0.1503496503,0.1505711319,0.1410358566,,,,,,,,
R_dubia_2673,0.1373149566,0.1386088710,0.1330677291,0.1386088710,0.1320000000,0.1108354012,0.1374358974,0.1447707367,0.1338645418,0.1488511489,0.1350675338,0.1282868526,0.1346444781,0.1428571429,0.1427829699,0.1346613546,0.1456928839,,,,,,,
B_nihoa_B_2673,0.0000000000,0.1577503429,?,0.1508916324,0.1495198903,?,0.1611510791,0.1734693878,?,0.1771978022,0.1550068587,?,0.1538461538,0.1648351648,0.1758865248,?,0.1426611797,0.1687242798,,,,,,
B_unica_B_2673,0.1673525377,0.1220850480,?,0.0493827160,0.1138545953,?,0.1223021583,0.1195335277,?,0.1043956044,0.0960219479,?,0.0934065934,0.1002747253,0.0992907801,?,0.1604938272,0.1467764060,0.1673525377,,,,,
B_molokaiensis_B_2673,0.1531393568,0.0735068913,?,0.1056661562,0.0658499234,?,0.0015313936,0.0632716049,?,0.1027607362,0.1041347626,?,0.1026033691,0.1010719755,0.1041347626,?,0.1669218989,0.1470137825,0.1531393568,0.1148545176,,,,
B_brunnea_B_2673,0.1763085399,0.1046831956,?,0.1033057851,0.1087248322,?,0.1054913295,0.1024890190,?,0.0013422819,0.0620782726,?,0.0606896552,0.0604026846,0.0598290598,?,0.1557046980,0.1718120805,0.1763085399,0.1033057851,0.1012269939,,,
B_pilimauiensis_B_2673,0.1538461538,0.1057692308,?,0.0837912088,0.1043956044,?,0.1093525180,0.1005830904,?,0.0618982118,0.0123626374,?,0.0000000000,0.0550206327,0.0595744681,?,0.1483516484,0.1442307692,0.1538461538,0.0934065934,0.1026033691,0.0606896552,,
Neoconocephalus_sp_2673,0.1947873800,0.1769547325,?,0.1659807956,0.1711229947,?,0.1726618705,0.1734693878,?,0.1700133869,0.1733870968,?,0.1717032967,0.1767068273,0.1773049645,?,0.1844919786,0.1751336898,0.1947873800,0.1618655693,0.1730474732,0.1691275168,0.1717032967,
